 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"179","Madi Kutruff","Xavier","Sr.","5-5","DS","103","426"
"180","Bri Tankesley","Middle Tenn.","Sr.","-","L","117","425"
"181","Jena Otec","Purdue","Jr.","5-10","DS","122","424"
"","Kaylee Thomas","Alabama","Jr.","5-8","DS","105","424"
"183","Alena Moldan","New Mexico","Fr.","5-7","L","115","423"
"","Kanani Price","Mississippi St.","Jr.","5-2","DS","114","423"
"","Michelle Taynton","Sacramento St.","Jr.","5-3","DS","128","423"
"186","Macy Carrabine","Denver","Jr.","5-11","L/DS","116","422"
"187","Zoe Fleck","UC Santa Barbara","So.","5-6","L","106","421"
"188","Tatum Pickar","South Dakota St.","So.","5-3","L/DS","107","420"
"","Madalon Simpson","VCU","Sr.","5-5","L","112","420"
"190","Cayce Chaykowsky","Saint Louis","So.","5-5","DS","110","419"
"191","Brooke Nuneviller","Oregon","So.","5-11","L","113","417"
"","Rachel Whipple","Colorado","Sr.","5-7","L/DS","106","417"
"193","Camryn Allen","Towson","Jr.","5-7","L/DS","112","416"
"194","Hannah Lackey","Winthrop","Jr.","-","-","109","415"
"195","Morgan Doll","Fairfield","Fr.","5-8","OH","110","414"
"","Fola Wilson","Howard","Jr.","5-3","L","114","414"
"197","Bella Bowman","George Washington","So.","5-7","L","100","413"
"","Raygan Murray","Seton Hall","Fr.","5-5","L/DS","106","413"
"","Allegra Rivas","Maryland","So.","5-10","L","112","413"
"","Jaycie Roberts","Niagara","Jr.","5-7","DS","100","413"
"201","Alyssa Carlin","Incarnate Word","Jr.","5-4","L/DS","110","412"
"","Kiani Kerstetter","Stony Brook","Jr.","5-2","L","96","412"
"203","Diana Giordani","Little Rock","Sr.","5-3","L/DS","95","410"
"204","Alondra Vazquez","Evansville","So.","5-11","OH","117","407"
"205","Jamye Cox","Michigan St.","Jr.","5-6","L/DS","100","406"
"","Samantha Graver","La Salle","Jr.","5-10","OH","110","406"
"","Emily Ramirez","UTSA","Sr.","5-8","DS","111","406"
"","Lindsey Tout","Cleveland St.","So.","5-7","DS","101","406"
"209","Emily Tanski","New Hampshire","Sr.","5-9","L/DS","98","405"
"210","Erin Carmichael","Jacksonville St.","Fr.","5-7","DS","106","404"
"","Mary Lake","BYU","Sr.","5-7","L","112","404"
"212","Morgan O'Brien","Illinois","Jr.","5-8","DS","105","402"
"213","Darian Chwialkowski","North Dakota","So.","5-11","OH","106","401"
"","Natalie Smith","Michigan","Jr.","5-7","L","117","401"
"215","Maddie Tippett","Georgia Tech","So.","5-6","L/DS","123","400"
"216","Maci  Battle","Alabama A&M","So.","5-5","RS","110","399"
"217","Shelby Capllonch","UNLV","Fr.","5-8","OH","126","398"
"","Caitlin Clarke","Wake Forest","Sr.","5-6","DS","105","398"
"","Brooke Stark","Bucknell","Sr.","5-7","L","96","398"
"","Emily Venable","Nicholls St.","Sr.","5-8","DS","106","398"
"221","Annie Benbow","San Diego","So.","5-3","L/DS","111","397"
"","Loren Teter","San Diego St.","Jr.","5-6","DS","110","397"
"223","Cameron Dames","Princeton","So.","5-9","L","90","396"
"","Jessica Paolucci","Iona","Sr.","5-7","L","101","396"
"225","Anna  Brinkmann","Northern Ky.","So.","6-0","OH","123","395"
"","Ann Ernst","Loyola Maryland","Sr.","5-9","OH","121","395"
"227","Taylor Jacobsen","Northern Ariz.","Fr.","6-1","OH","117","394"
"","Margaux Thompson","Youngstown St.","Jr.","5-11","OH","101","394"
"","Josie Treadwell","Davidson","Sr.","5-10","OH","105","394"
"230","Skylar Blackmon","Charleston So.","Jr.","5-8","DS","103","393"
"","Logan Kael","Western Ky.","Jr.","5-7","L/DS","118","393"
"","Franki Strefling","Eastern Mich.","Jr.","5-10","OH","106","393"
"","Emillie Wright","Niagara","Sr.","5-7","L","98","393"
"234","Rachel Pranger","Bradley","So.","5-11","OH","117","392"
"","Emma Raleigh","Bradley","Jr.","5-8","L/DS","106","392"
"236","Makayla Bradford","CSUN","Jr.","5-6","DS","107","390"
"","Katie Crowe","Purdue Fort Wayne","Jr.","5-10","OH","128","390"
"","Hana Lishman","Pepperdine","Sr.","5-8","L","114","390"
"239","Mackenzie Conner","Cincinnati","So.","5-6","L/DS","109","389"
"240","Alayna Martin","Southern Ill.","Sr.","6-0","S","134","388"
"241","Makala Heidelberg","Tulane","So.","5-7","OH","113","387"
"","Thea Leiataua","Southern Utah","Sr.","5-10","OH","114","387"
"","Rylin Roberts","Weber St.","Jr.","5-9","OH","133","387"
"244","Clare Lund","Northeastern","Sr.","5-9","S","108","385"
"245","Emily Solis","Navy","Sr.","5-10","DS","101","384"
"246","Valencia Grayson","Texas Southern","Jr.","5-4","DS","102","382"
"","CeCe Madison","Oral Roberts","Sr.","5-10","OH","123","382"
"","McKenna Melville","UCF","So.","6-1","OH","122","382"
"249","Mika Dickson","Cal Poly","Sr.","5-7","L","110","381"
"","Katelyn Erwin","Weber St.","Sr.","5-7","L","132","381"
"","Alex Ratzlaff","UMKC","Jr.","5-10","OH","104","381"
"252","Rachel Hickey","IUPUI","So.","5-4","L/DS","100","380"
"","Leah Vokolek","Missouri St.","So.","5-8","L/DS","116","380"
"254","Stephanie Der","George Mason","Fr.","5-3","L","97","379"
"","Jordan Jefferson","Bethune-Cookman","Jr.","5-8","OH","106","379"
"","Erika Ward","Bryant","Jr.","5-1","L","103","379"
"257","Cassidy Ceriani","Canisius","Sr.","5-11","S","120","378"
"","Shira Lahav","UC Davis","Fr.","5-7","-","111","378"
"","Erin Pequeno","Lamar University","Sr.","5-4","L/DS","92","378"
"260","Kayla Afoa","Nevada","Jr.","5-9","OH","114","377"
"","Morgan Currie","Louisiana Tech","Sr.","5-6","L/DS","96","377"
"","Kamaile Hiapo","Arizona","Fr.","5-7","L/DS","107","377"
"263","Abigail Huser","Miami (OH)","Jr.","5-8","DS","86","376"
"","Haylie Keck","Idaho St.","Sr.","5-9","OH","109","376"
"265","Sarina Moreno","Montana","So.","5-7","L/DS","109","375"
"266","Kenzie Kellerman","The Citadel","Fr.","4-11","L","102","374"
"","Savannah Marshall","James Madison","So.","5-3","L","93","374"
"268","Ashlyn Roberts","South Alabama","Sr.","5-4","L/DS","93","373"
"269","Kelly Colwell","Houston Baptist","So.","6-1","OH","117","372"
"","Maggie Huber","Ball St.","Fr.","5-6","DS","123","372"
"","Brooke Moore","Austin Peay","Jr.","5-10","OH","118","372"
"272","Mia Fradenburg","North Carolina","Sr.","5-6","L/DS","95","371"
"273","Kendal Meier","Illinois St.","Jr.","5-6","DS","85","370"
"","Emma Smith","California","Sr.","5-8","DS","109","370"
"275","Jasmal CRUZ","Delaware St.","---","-","-","99","368"
"","Kaylee Hanger","North Dakota St.","So.","5-8","L/DS","108","368"
"","Georgia Murphy","Oregon","Fr.","5-6","L","113","368"
"278","Laney Malloy","Southeast Mo. St.","Jr.","6-0","OH","129","367"
"","Mackenzie Marcum","USC Upstate","So.","5-6","L/DS","101","367"
"","Alexis Warren","Northwestern St.","Sr.","5-10","OH","115","367"
"281","Lainey Stephenson","Wright St.","So.","5-11","S","111","366"
"282","Catelyn Linke","Eastern Wash.","Jr.","5-8","L","79","365"
"","Ashlyn Power","Weber St.","Jr.","5-8","S","133","365"
"284","Madison Cunningham","Eastern Ill.","Jr.","5-8","L/DS","88","364"
"","Ashley Lewis","Sam Houston St.","Jr.","6-0","OH","134","364"
"286","Kelsey Knudsen","Saint Mary's (CA)","So.","5-8","L/DS","106","363"
"287","Nicole Lennon","Rice","Jr.","6-2","OH","105","362"
"288","Bayle' Bennett","Alabama St.","Sr.","5-10","OH","141","361"
"","Gabby DePersio","Western Ill.","Fr.","5-3","L/DS","107","361"
"","Claire Ochs","Southeast Mo. St.","So.","5-10","S","129","361"
"","Puaoolelagi Sao","Eastern Wash.","Jr.","5-6","DS","112","361"
"292","Julia Bergmann","Georgia Tech","Fr.","6-5","OH","123","360"
"","Alex Lucero","Hartford","So.","5-7","L/DS","105","360"
"","Savannah Matthews","Kent St.","Fr.","5-10","OH","112","360"
"295","Emily DeGeorge","Cleveland St.","Jr.","5-9","OH","108","359"
"","Maria Mallon","Cincinnati","So.","5-9","OH","119","359"
"297","Jessica Pugh","Hampton","So.","5-7","L/DS","95","358"
"","Natalie Risi","Ball St.","Fr.","6-0","OH","126","358"
"299","Sarah Kushner","Illinois St.","Fr.","5-10","OH","132","357"
"","Ashleigh Traylor","Sam Houston St.","Sr.","5-8","DS","134","357"
Reclassifying
"NR","Nicole Abreu","California Baptist","Sr.","6-0","L/DS","116","482"
"NR","Mackenzie Sullivan","North Ala.","So.","5-10","L","90","377"

NCAA Women's Volleyball
Division ITotal Attacks
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Errors","Total Attacks"
"1","Jordan Thompson","Cincinnati","Sr.","6-4","OH","125","798","208","1735"
"2","Sarah Davis","Sacramento St.","Sr.","5-10","OH","130","542","217","1711"
"3","Dani Drews","Utah","Jr.","6-0","OH","137","643","245","1615"
"4","Karlie Taylor","UNI","Sr.","5-11","OH","124","565","250","1543"
"5","McKenna Melville","UCF","So.","6-1","OH","122","548","151","1536"
"6","Sydney Rowan","Charlotte","Jr.","5-10","OH","111","457","133","1513"
"7","Ashley Lewis","Sam Houston St.","Jr.","6-0","OH","134","482","183","1510"
"8","Kara Bajema","Washington","Sr.","6-2","OH","129","597","179","1490"
"9","Rachel Giustino","Murray St.","Sr.","5-10","OH","114","610","214","1478"
"10","Zoe McBride","Morgan St.","So.","6-0","OH","114","551","201","1468"
"11","Hannah Brister","Northwestern St.","Jr.","6-0","OH","113","539","181","1454"
"12","Olivia Lohmeier","Morehead St.","Jr.","6-0","OH","119","564","197","1448"
"13","Emily Hill","Texas Tech","Sr.","6-1","OH","116","491","181","1444"
"14","Laney Malloy","Southeast Mo. St.","Jr.","6-0","OH","129","397","151","1409"
"15","Khalia Lanier","Southern California","Sr.","6-2","OH","115","566","191","1408"
"16","Jacqueline Quade","Illinois","Sr.","6-2","OH","118","499","201","1388"
"","Valerie Valerian","North Texas","Jr.","6-1","OH","109","465","131","1388"
"18","Dilara Gedikoglu","Tulsa","Fr.","5-10","OH","119","488","261","1381"
"19","Katelyn MEYER","Bowling Green","So.","5-10","OH","122","459","158","1374"
"20","Abby Hamilton","Loyola Maryland","So.","5-11","OH","122","453","183","1372"
"","Jamie Peterson","Dayton","So.","6-4","OH","114","522","177","1372"
"22","Emily Plock","Drake","Jr.","6-2","OPP","125","472","165","1361"
"23","Ann Ernst","Loyola Maryland","Sr.","5-9","OH","121","493","256","1350"
"24","Paige Whipple","Arizona","Jr.","6-1","OH","116","457","191","1347"
"25","Kaylee Martin","Illinois St.","Jr.","5-9","OH","132","526","218","1340"
"26","Emily Stroup","Ole Miss","Sr.","6-0","OH","117","431","219","1339"
"27","Elizabeth Juhnke","South Dakota","Fr.","6-0","OH","123","520","202","1326"
"28","CeCe Madison","Oral Roberts","Sr.","5-10","OH","123","481","221","1324"
"","Rachel Tam","Evansville","Sr.","5-9","OH","117","448","256","1324"
"30","Mikayla Vivens","Houston Baptist","Jr.","5-9","OH","117","394","161","1313"
"31","Melanie Feliciano","Evansville","Fr.","5-11","OH","109","456","162","1310"
"32","Emma Longley","Appalachian St.","Sr.","5-11","OH","116","446","180","1308"
"33","Shannon Webb","Southern Utah","Sr.","6-0","OH","116","439","145","1307"
"34","Morgan Romano","Rider","Fr.","5-10","RS","115","534","206","1306"
"35","Allie Barber","Marquette","Sr.","6-5","OH","122","570","172","1295"
"36","Alli Lowe","Colgate","Jr.","6-0","OH","115","465","182","1289"
"37","Alondra Vazquez","Evansville","So.","5-11","OH","117","383","159","1287"
"38","Skylar Iott","George Washington","Sr.","6-0","OH","99","395","219","1285"
"39","Kayla Afoa","Nevada","Jr.","5-9","OH","114","375","202","1283"
"","Charley Niego","Notre Dame","So.","6-0","OH","115","410","193","1283"
"41","Megan Duncan","Houston","Sr.","6-1","OH","128","360","155","1276"
"42","Bayle' Bennett","Alabama St.","Sr.","5-10","OH","141","432","223","1273"
"43","Abbie Harry","Central Ark.","Sr.","6-0","OH","117","438","242","1270"
"44","Taylor Wolf","Green Bay","Jr.","6-2","S","114","518","156","1269"
"45","Maria Bellinger","Delaware","Sr.","6-1","OH","104","477","172","1268"
"46","Yossiana Pressley","Baylor","Jr.","6-0","OH","101","546","198","1267"
"47","Alanis Alvarado","Saint Peter's","So.","-","OH","109","343","178","1266"
"48","Hannah Thompson","Bradley","So.","5-8","OH","119","382","125","1258"
"49","Leah Daniel","Elon","So.","6-1","OH","126","487","208","1255"
"50","Hollann Hans","Texas A&M","Sr.","6-1","OH","119","534","196","1253"
"51","Lauren Deaton","Samford","So.","-","OH","118","443","188","1252"
"52","Caitlyn Newton","Purdue","Jr.","6-1","OH","114","446","180","1224"
"53","Ali Verzani","Tennessee Tech","Jr.","5-10","OH","110","395","170","1221"
"54","Megan Fergus","Marist","Sr.","5-10","MB","114","453","176","1220"
"55","Nicole Lennon","Rice","Jr.","6-2","OH","105","504","154","1219"
"56","Katie Crowe","Purdue Fort Wayne","Jr.","5-10","OH","128","419","192","1218"
"57","Paige Jones","Michigan","So.","6-1","OH","118","463","158","1212"
"","Kylie Kuyava-Deberg","Missouri","Jr.","6-4","OH","111","524","183","1212"
"59","Julia Sangiacomo","Santa Clara","Fr.","6-5","OH","119","411","154","1209"
"60","Taylor Muff","Northern Colo.","Jr.","5-11","OH","132","423","190","1206"
"61","Kailey Jo Ince","Northern Colo.","So.","6-1","OH","132","508","179","1204"
"62","Hali Wisnoskie","Louisiana","Jr.","6-2","OH","110","359","118","1200"
"63","Rachel Pranger","Bradley","So.","5-11","OH","117","349","169","1199"
"64","Mallory Mattingly","Jacksonville","Sr.","5-10","OH","116","394","214","1189"
"65","Makenzie Hennen","South Dakota St.","Sr.","5-11","OH","107","345","185","1188"
"66","Jacqueline Askin","Bowling Green","Jr.","6-1","OH","120","323","134","1183"
"67","Jillian Gillen","Arkansas","Fr.","5-10","OH","113","424","221","1182"
"68","Alli Stumler","Kentucky","So.","-","OH","114","383","129","1181"
"69","Corin Evans","SFA","Sr.","5-10","OH","114","368","113","1179"
"70","Ciara DeBell","Marshall","Jr.","6-2","OH","101","422","105","1175"
"71","Kelsi Hobbs","Samford","Sr.","6-1","OH","118","466","145","1173"
"72","Isabella Sade","Omaha","Jr.","6-2","OH","125","448","215","1172"
"73","Cheyenne Hayes","Troy","Jr.","5-9","OH","120","455","232","1163"
"","Cortney VanLiew","FGCU","Jr.","5-11","OH","104","424","135","1163"
"75","Amelia Johnson","Liberty","Jr.","6-1","OH","120","457","188","1161"
"","Alex Stein","Colgate","Sr.","6-1","OH","122","414","173","1161"
"77","Natalie Risi","Ball St.","Fr.","6-0","OH","126","360","142","1160"
"78","Laura Crawford","Northern Ky.","Sr.","6-0","OH","123","337","130","1158"
"79","Miajavon Coleman","Coppin St.","So.","5-11","OH","113","406","203","1153"
"80","Erika Pritchard","Maryland","Jr.","6-2","OH","127","417","189","1150"
"81","Merry Gebel","Western Caro.","So.","5-10","OH","110","365","134","1149"
"82","Mac May","UCLA","Jr.","6-3","OH","102","493","165","1147"
"83","Efrosini Alexakou","St. John's (NY)","So.","6-1","OH","116","491","208","1146"
"","Lauren Chastang","Kennesaw St.","Jr.","5-11","OH","115","453","200","1146"
"85","Riley Patterson","Pacific","So.","5-8","OH","120","419","244","1139"
"86","Lauren Matias","UC Davis","Sr.","6-2","OH","112","421","167","1138"
"87","Brooke Moore","Austin Peay","Jr.","5-10","OH","118","378","170","1137"
"88","Samantha Graver","La Salle","Jr.","5-10","OH","110","402","175","1136"
"","Maggie Nedoma","Ohio","So.","6-0","OPP","119","388","144","1136"
"90","Jillie Grant","Valparaiso","So.","5-11","OH","127","316","178","1131"
"91","Leah Edmond","Kentucky","Sr.","6-2","OH","111","491","144","1129"
"92","Solimar Cestero","North Florida","So.","6-0","OH","116","424","169","1125"
"93","Brittany Maxwell","DePaul","Sr.","6-3","RS","121","443","170","1124"
"94","Kalina Smith","Central Mich.","Jr.","5-10","OH","109","364","177","1121"
"95","Polina Shemanova","Syracuse","So.","6-0","OH","94","485","185","1120"
"96","Liz Reich","Portland","Jr.","6-1","MB","107","358","181","1119"
"","Lindsey Ruddins","UC Santa Barbara","Sr.","6-2","OH","99","439","123","1119"
"98","Abby Noll","Eastern Ky.","Fr.","5-11","OH","97","375","205","1116"
"99","Ashlynn Dunbar","Oklahoma","Sr.","6-0","OH","106","366","197","1113"
"100","Iva Vujosevic","Georgetown","Sr.","5-11","OH","109","379","204","1108"
"101","Tamaira Armstrong","Prairie View","Jr.","5-8","OH","133","364","127","1106"
"","Tylar Roberson","Morgan St.","Jr.","5-11","OH","114","376","181","1106"
"103","Maia Dvoracek","Cal Poly","Jr.","6-1","OH","110","468","179","1105"
"104","Anna  Brinkmann","Northern Ky.","So.","6-0","OH","123","369","150","1103"
"105","Melissa Evans","NC State","Jr.","6-1","OPP","115","408","168","1102"
"106","Kathya Garcia","San Francisco","Sr.","5-10","OH","107","364","149","1100"
"107","Justine Spann","Colorado","Sr.","5-8","OH","106","378","195","1097"
"108","Haylee Gasser","Seton Hall","Sr.","6-0","MB","114","333","169","1096"
"109","Maria Yvett Garcia","Florida A&M","Sr.","6-1","OH","101","357","156","1095"
"110","Kazna Tarawhiti","Utah Valley","So.","5-11","OH","109","415","191","1093"
"111","Anna Logan","Butler","Sr.","6-0","OH","115","302","142","1091"
"","Kira Thomsen","Montana St.","Fr.","5-10","OH","110","332","151","1091"
"113","Julia Crawford","Cal St. Fullerton","Fr.","5-9","OH","90","354","125","1089"
"114","Emma Henderson","Central Conn. St.","Jr.","5-10","OH","109","338","125","1088"
"115","Alexis Warren","Northwestern St.","Sr.","5-10","OH","115","338","161","1087"
"116","Rachel Bontrager","Western Mich.","Jr.","5-11","OH","112","414","145","1081"
"","Caroline Meuth","Notre Dame","Fr.","6-1","OH","115","366","164","1081"
"118","Abigail Veit","Western Caro.","Sr.","5-11","OH","110","371","155","1079"
"119","Lexie Douglas","Tulane","Jr.","6-0","OH","131","384","185","1078"
"","Macey Putt","Arkansas St.","So.","6-0","OH","114","325","187","1078"
"121","Thayer Hall","Florida","So.","6-3","OH","111","415","147","1077"
"122","Julia Bergmann","Georgia Tech","Fr.","6-5","OH","123","426","193","1076"
"123","Maya Taylor","Saint Louis","Jr.","5-11","OH","103","403","142","1074"
"124","Brooke Monssen","Charleston So.","Sr.","6-2","OH","103","419","219","1073"
"125","Alicia Harrington","UMKC","Sr.","6-0","OH","110","415","161","1072"
"","Cheyenne Huskey","Texas St.","Sr.","6-2","OH","117","425","170","1072"
"127","Jylen Whitten","Jackson St.","Fr.","5-9","OH","117","385","178","1071"
"128","Jonni Parker","Penn St.","So.","6-1","OH","117","413","130","1070"
"129","Laura Masciullo","Hofstra","Sr.","6-0","OH","109","439","200","1066"
"130","Breana  Edwards","Indiana","So.","6-2","OH","104","362","159","1064"
"131","Haylie Keck","Idaho St.","Sr.","5-9","OH","109","274","113","1059"
"132","Addie Barnes","Loyola Chicago","Fr.","5-11","OH","124","371","195","1058"
"","Maria Mallon","Cincinnati","So.","5-9","OH","119","451","181","1058"
"134","Nicole Mack","Furman","Jr.","5-11","OH","99","352","170","1056"
"","Rylin Roberts","Weber St.","Jr.","5-9","OH","133","317","117","1056"
"136","Pia Timmer","Washington St.","Fr.","6-2","OH","121","345","168","1055"
"137","Lexi Sun","Nebraska","Jr.","6-2","OH","119","425","140","1054"
"","Lauren Twitty","New Mexico","Sr.","6-2","OH","115","352","155","1054"
"139","Megan Gneiting","Weber St.","Sr.","6-0","OH","133","380","128","1050"
"","Rachel Maguire","Southern Ill.","Jr.","6-0","S","134","310","144","1050"
"141","Catie Cronister","Wofford","Sr.","5-10","OH","111","371","183","1049"
"","Sien Gallop","Saint Louis","Sr.","5-10","OH","111","369","174","1049"
"","Anett Nemeth","Coastal Caro.","So.","6-1","OPP","105","515","147","1049"
"","Temi Thomas-Ailara","Northwestern","Fr.","6-2","OH","102","398","171","1049"
"145","Savannah Sheridan","Southern Ill.","Jr.","6-4","OH","133","326","153","1047"
"146","Molly Haggerty","Wisconsin","Jr.","6-1","OH","116","412","134","1046"
"147","Kate Blasingame","La.-Monroe","So.","5-10","OH","108","277","133","1044"
"","Tessa Grubbs","Tennessee","Sr.","6-3","OH","108","438","162","1044"
"","Hattie Rodriguez","Davidson","So.","5-11","OH","99","322","130","1044"
"150","Dani Nay","Weber St.","Fr.","5-10","OH","114","401","138","1043"

NCAA Women's Volleyball
Division IAttacks Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Errors","Total Attacks","Per Set"
"1","Jordan Thompson","Cincinnati","Sr.","6-4","OH","125","798","208","1735","13.88"
"2","Sydney Rowan","Charlotte","Jr.","5-10","OH","111","457","133","1513","13.63"
"3","Sarah Davis","Sacramento St.","Sr.","5-10","OH","130","542","217","1711","13.16"
"4","Skylar Iott","George Washington","Sr.","6-0","OH","99","395","219","1285","12.98"
"5","Rachel Giustino","Murray St.","Sr.","5-10","OH","114","610","214","1478","12.96"
"6","Zoe McBride","Morgan St.","So.","6-0","OH","114","551","201","1468","12.88"
"7","Hannah Brister","Northwestern St.","Jr.","6-0","OH","113","539","181","1454","12.87"
"8","Valerie Valerian","North Texas","Jr.","6-1","OH","109","465","131","1388","12.73"
"9","McKenna Melville","UCF","So.","6-1","OH","122","548","151","1536","12.59"
"10","Yossiana Pressley","Baylor","Jr.","6-0","OH","101","546","198","1267","12.54"
"11","Emily Hill","Texas Tech","Sr.","6-1","OH","116","491","181","1444","12.45"
"12","Karlie Taylor","UNI","Sr.","5-11","OH","124","565","250","1543","12.44"
"13","Khalia Lanier","Southern California","Sr.","6-2","OH","115","566","191","1408","12.24"
"14","Maria Bellinger","Delaware","Sr.","6-1","OH","104","477","172","1268","12.19"
"15","Olivia Lohmeier","Morehead St.","Jr.","6-0","OH","119","564","197","1448","12.17"
"16","Julia Crawford","Cal St. Fullerton","Fr.","5-9","OH","90","354","125","1089","12.10"
"17","Jamie Peterson","Dayton","So.","6-4","OH","114","522","177","1372","12.04"
"18","Melanie Feliciano","Evansville","Fr.","5-11","OH","109","456","162","1310","12.02"
"19","Polina Shemanova","Syracuse","So.","6-0","OH","94","485","185","1120","11.91"
"20","Dani Drews","Utah","Jr.","6-0","OH","137","643","245","1615","11.79"
"21","Jacqueline Quade","Illinois","Sr.","6-2","OH","118","499","201","1388","11.76"
"22","Ciara DeBell","Marshall","Jr.","6-2","OH","101","422","105","1175","11.63"
"23","Alanis Alvarado","Saint Peter's","So.","-","OH","109","343","178","1266","11.61"
"24","Paige Whipple","Arizona","Jr.","6-1","OH","116","457","191","1347","11.61"
"25","Nicole Lennon","Rice","Jr.","6-2","OH","105","504","154","1219","11.61"
"26","Dilara Gedikoglu","Tulsa","Fr.","5-10","OH","119","488","261","1381","11.61"
"27","Kara Bajema","Washington","Sr.","6-2","OH","129","597","179","1490","11.55"
"28","Abby Noll","Eastern Ky.","Fr.","5-11","OH","97","375","205","1116","11.51"
"29","Emily Stroup","Ole Miss","Sr.","6-0","OH","117","431","219","1339","11.44"
"30","Morgan Romano","Rider","Fr.","5-10","RS","115","534","206","1306","11.36"
"31","Rachel Tam","Evansville","Sr.","5-9","OH","117","448","256","1324","11.32"
"32","Lindsey Ruddins","UC Santa Barbara","Sr.","6-2","OH","99","439","123","1119","11.30"
"33","Emma Longley","Appalachian St.","Sr.","5-11","OH","116","446","180","1308","11.28"
"34","Ashley Lewis","Sam Houston St.","Jr.","6-0","OH","134","482","183","1510","11.27"
"35","Shannon Webb","Southern Utah","Sr.","6-0","OH","116","439","145","1307","11.27"
"36","Katelyn MEYER","Bowling Green","So.","5-10","OH","122","459","158","1374","11.26"
"37","Kayla Afoa","Nevada","Jr.","5-9","OH","114","375","202","1283","11.25"
"38","Abby Hamilton","Loyola Maryland","So.","5-11","OH","122","453","183","1372","11.25"
"39","Mac May","UCLA","Jr.","6-3","OH","102","493","165","1147","11.25"
"40","Mikayla Vivens","Houston Baptist","Jr.","5-9","OH","117","394","161","1313","11.22"
"41","Alli Lowe","Colgate","Jr.","6-0","OH","115","465","182","1289","11.21"
"42","Cortney VanLiew","FGCU","Jr.","5-11","OH","104","424","135","1163","11.18"
"43","Desiree Sukhov","Fresno St.","Jr.","5-11","OH","87","344","147","971","11.16"
"44","Ann Ernst","Loyola Maryland","Sr.","5-9","OH","121","493","256","1350","11.16"
"45","Charley Niego","Notre Dame","So.","6-0","OH","115","410","193","1283","11.16"
"46","Taylor Wolf","Green Bay","Jr.","6-2","S","114","518","156","1269","11.13"
"47","Makenzie Hennen","South Dakota St.","Sr.","5-11","OH","107","345","185","1188","11.10"
"48","Ali Verzani","Tennessee Tech","Jr.","5-10","OH","110","395","170","1221","11.10"
"49","Kathryn Plummer","Stanford","Sr.","6-6","OH","85","444","135","935","11.00"
"","Alondra Vazquez","Evansville","So.","5-11","OH","117","383","159","1287","11.00"
"51","Laney Malloy","Southeast Mo. St.","Jr.","6-0","OH","129","397","151","1409","10.92"
"52","Kylie Kuyava-Deberg","Missouri","Jr.","6-4","OH","111","524","183","1212","10.92"
"53","Hali Wisnoskie","Louisiana","Jr.","6-2","OH","110","359","118","1200","10.91"
"54","Emily Plock","Drake","Jr.","6-2","OPP","125","472","165","1361","10.89"
"55","Abbie Harry","Central Ark.","Sr.","6-0","OH","117","438","242","1270","10.85"
"56","Maria Yvett Garcia","Florida A&M","Sr.","6-1","OH","101","357","156","1095","10.84"
"57","Elizabeth Juhnke","South Dakota","Fr.","6-0","OH","123","520","202","1326","10.78"
"58","CeCe Madison","Oral Roberts","Sr.","5-10","OH","123","481","221","1324","10.76"
"59","Caitlyn Newton","Purdue","Jr.","6-1","OH","114","446","180","1224","10.74"
"60","Megan Fergus","Marist","Sr.","5-10","MB","114","453","176","1220","10.70"
"61","Nicole Mack","Furman","Jr.","5-11","OH","99","352","170","1056","10.67"
"62","Maria Esch","UNC Greensboro","Jr.","6-0","OH","94","339","132","998","10.62"
"63","Allie Barber","Marquette","Sr.","6-5","OH","122","570","172","1295","10.61"
"64","Lauren Deaton","Samford","So.","-","OH","118","443","188","1252","10.61"
"65","Carol Barbosa","Little Rock","Sr.","6-0","OH","86","309","121","911","10.59"
"66","Hannah Thompson","Bradley","So.","5-8","OH","119","382","125","1258","10.57"
"67","Makena Ehlert","Brown","Sr.","6-0","OH","87","293","115","919","10.56"
"68","Hattie Rodriguez","Davidson","So.","5-11","OH","99","322","130","1044","10.55"
"69","Hollann Hans","Texas A&M","Sr.","6-1","OH","119","534","196","1253","10.53"
"70","Ashlynn Dunbar","Oklahoma","Sr.","6-0","OH","106","366","197","1113","10.50"
"71","Jillian Gillen","Arkansas","Fr.","5-10","OH","113","424","221","1182","10.46"
"72","Liz Reich","Portland","Jr.","6-1","MB","107","358","181","1119","10.46"
"73","Merry Gebel","Western Caro.","So.","5-10","OH","110","365","134","1149","10.45"
"74","Maya Taylor","Saint Louis","Jr.","5-11","OH","103","403","142","1074","10.43"
"75","Madi Tyus","Saint Francis (PA)","So.","6-0","OH","86","321","135","896","10.42"
"76","Brooke Monssen","Charleston So.","Sr.","6-2","OH","103","419","219","1073","10.42"
"77","Micaya White","Texas","Sr.","6-1","OH","98","392","86","1016","10.37"
"78","Alli Stumler","Kentucky","So.","-","OH","114","383","129","1181","10.36"
"79","Justine Spann","Colorado","Sr.","5-8","OH","106","378","195","1097","10.35"
"80","Corin Evans","SFA","Sr.","5-10","OH","114","368","113","1179","10.34"
