 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"","Madelyn St. Germain","UT Arlington","Jr.","5-6","L","102","457"
"169","Kizzy Rodriguez","St. Francis Brooklyn","Fr.","5-4","L","103","455"
"","Taylor Sharrits","Akron","So.","5-7","DS","103","455"
"171","Tiyana Hallums","Gonzaga","Sr.","5-10","DS","108","454"
"172","Margo Wolf","Dayton","Sr.","5-8","L/DS","118","452"
"173","Diana Giordani","Little Rock","Jr.","5-3","L/DS","125","450"
"174","Mackenzie Taylor","Providence","Fr.","5-5","DS","105","445"
"","Morgan Williams","Fordham","Jr.","5-8","L/DS","104","445"
"176","Grace Green","Radford","Fr.","5-8","DS","106","444"
"177","Larra Bickelhaupt","Buffalo","Sr.","5-10","L","113","443"
"","Shelby Williams","UTSA","Sr.","5-6","DS","105","443"
"179","Emerson Solano","Texas Tech","So.","5-7","L/DS","109","442"
"180","Malia Bolko","UC Davis","Sr.","5-8","L","94","441"
"","Nicklin Hames","Nebraska","Fr.","5-10","S","133","441"
"","Lacey Jeffcoat","Troy","Fr.","5-8","DS","116","441"
"","Allison Whitten","Morehead St.","Fr.","5-8","DS","113","441"
"184","Katherine Brouker","Cal Poly","Sr.","5-9","L","96","440"
"185","Isabelle Banez","DePaul","So.","5-6","L/DS","93","439"
"","Claire Mountjoy","Omaha","So.","5-5","OH","112","439"
"","Riley Sents","Missouri","Jr.","5-4","L","119","439"
"188","Abbi Klos","North Dakota St.","Jr.","5-6","DS","111","438"
"189","Emily DeGeorge","Cleveland St.","So.","5-9","OH","114","437"
"","Kiani Kerstetter","Stony Brook","So.","5-2","L/DS","106","437"
"191","Charissa Coleman","Gardner-Webb","Jr.","5-4","DS","111","436"
"","Anna Dalla Vecchia","San Francisco","So.","5-7","L","108","436"
"193","Emily Develle","Lehigh","Sr.","5-6","L","107","435"
"","Laura Gross","Indiana St.","Sr.","5-10","OH","111","435"
"195","Katherine Carlson","Valparaiso","Sr.","5-11","OH","143","434"
"","Rhiannon Schuenemann","IUPUI","So.","5-7","L/DS","108","434"
"197","Catie Espinoza","George Mason","Sr.","6-0","L","91","432"
"198","Cayce Chaykowsky","Saint Louis","Fr.","5-5","DS","95","431"
"","Margaret Latchford","Liberty","Sr.","5-2","L/DS","116","431"
"200","Maggie Hallow","East Carolina","Jr.","5-9","DS","104","429"
"","Sarina Moreno","Montana","Fr.","5-7","DS","101","429"
"202","CC McGraw","Minnesota","Fr.","5-9","L/DS","107","428"
"203","Hana Lishman","Pepperdine","Jr.","5-8","L","111","427"
"","Mo Maluotoga","Nevada","Sr.","5-6","L/DS","110","427"
"","Carlie Skelton","Winthrop","Sr.","5-2","DS","94","427"
"206","Sydney Lema","Northern Ariz.","Jr.","6-0","OH","116","425"
"","Nicole Rightnowar","Purdue Fort Wayne","Sr.","5-11","OH","120","425"
"208","McKenna Melville","UCF","Fr.","6-1","OH","117","423"
"209","Kayla Torres","Alabama St.","Sr.","5-5","L/DS","131","422"
"210","Alivia Fraase","North Dakota","Jr.","6-0","L","116","421"
"","Markayisha Masani","Jackson St.","Sr.","5-9","OH","130","421"
"","Carol Raffety","Virginia Tech","Jr.","5-11","L","107","421"
"213","Jamye Cox","Michigan St.","So.","5-6","L/DS","109","419"
"","Rachel Whipple","Colorado","Jr.","5-7","L/DS","125","419"
"215","Jordan Ishida","Siena","So.","5-5","L","114","418"
"","Madelynn Miller","Incarnate Word","So.","5-3","L/DS","93","418"
"217","Sydnee Martin","Little Rock","Sr.","5-4","L/DS","125","417"
"","Abby Williams","Cincinnati","Sr.","5-9","DS","126","417"
"219","Chloe Loreen","Santa Clara","So.","6-0","OH","108","416"
"","Andrea Nava","New Orleans","Jr.","5-0","L/DS","115","416"
"221","Payton Duncan","USC Upstate","Sr.","5-9","OH","122","414"
"","Mary Lake","BYU","Jr.","5-7","L/DS","107","414"
"","Angela Seman","Pittsburgh","Sr.","5-9","L","114","414"
"224","Kristey Markle","CSUN","Sr.","5-9","DS","107","413"
"","Kelsey Miller","Virginia","Jr.","5-10","DS","104","413"
"","Kendall Murr","Mississippi St.","Fr.","5-8","OH","109","413"
"227","Shayla Eugene","Bethune-Cookman","Jr.","5-4","DS","119","410"
"228","Lily Barber","Cornell","Jr.","5-6","DS","93","409"
"229","Puaoolelagi Sao","Eastern Wash.","So.","5-6","DS","101","408"
"230","Aubrey Ezell","South Carolina","Sr.","5-8","L/DS","112","406"
"231","Makenna Martin","Arizona","Jr.","5-9","DS","115","404"
"232","Madison Lawler","Southern Miss.","So.","5-7","L","127","402"
"233","Bailey Jefferson","Southern U.","Sr.","5-6","L/DS","111","400"
"","Andrea Laboy-Rivera","N.C. A&T","Fr.","5-5","DS","89","400"
"235","Payton Frederick","Western Ky.","Fr.","5-6","L/DS","117","398"
"","Marissa Hornung","Purdue","Fr.","5-7","DS","130","398"
"","Grace Kane","Campbell","Fr.","5-2","DS","95","398"
"","Erineka Mollere","Grambling","Sr.","5-6","DS","108","398"
"","Allie Nelson","Kansas","Jr.","5-6","L/DS","109","398"
"","Kate Swanson","Yale","Sr.","5-8","L","81","398"
"241","Jess Barrett","Saint Francis (PA)","Fr.","5-11","L/DS","88","397"
"242","Mikayla Vivens","Houston Baptist","So.","5-9","OH","124","396"
"243","Mackenzie Cole","Duke","Fr.","5-10","DS","108","395"
"","Ally Dion","Southeast Mo. St.","So.","5-10","L/DS","112","395"
"","Mariena Hayden","UNLV","So.","6-0","OH","127","395"
"246","Abigail Huser","Miami (OH)","So.","5-8","DS","73","394"
"","Emma Smallcomb","Sacred Heart","Fr.","5-8","S","99","394"
"","Jill Strockis","Boston College","Jr.","6-1","OH","112","394"
"","Josie Treadwell","Davidson","Jr.","5-10","OH","87","394"
"250","Aleah Hughes","Youngstown St.","Jr.","5-9","OH","101","391"
"251","Claire Grove","Western Ill.","Jr.","5-11","OH","97","389"
"252","Briana Bustillos","UTEP","So.","5-5","DS","99","388"
"","Sabrina Monaco","SFA","Fr.","5-7","DS","112","388"
"254","Megan Kern","Central Mich.","Jr.","5-6","DS","106","387"
"255","Jadyn Tubbs","Pacific","Fr.","5-5","L","100","386"
"256","Jessica Bell","Mississippi Val.","So.","5-5","L","108","385"
"","Bri Tankesley","Middle Tenn.","Jr.","-","L","101","385"
"258","Lauren Anderson","Lipscomb","Sr.","5-10","OH","108","384"
"","Olivia Budinich","Rhode Island","Sr.","5-6","DS","96","384"
"","Hayley Dotseth","South Dakota","Sr.","5-11","OH","111","384"
"","Kaitlyn Gehler","Memphis","Fr.","5-6","L","106","384"
"","Rachel Giustino","Murray St.","Jr.","5-10","OH","116","384"
"","Makenzie Morrison","Boston College","Jr.","5-7","DS","111","384"
"264","Michelle Lee","Northwestern","Fr.","5-7","L","113","379"
"265","Morgan Owens","Marist","Fr.","5-6","DS","111","378"
"","Mercedes Pacheco","New Mexico","Sr.","5-2","L/DS","98","378"
"","Karlie Taylor","UNI","Jr.","5-11","OH","118","378"
"268","Alejandra Rodriguez","Quinnipiac","Jr.","5-4","L","112","377"
"269","Elizabeth LaBue","Butler","Fr.","5-7","L/DS","105","376"
"270","Christen Augustine","Prairie View","Sr.","5-5","DS","101","375"
"","Paris Winkler","Brown","Fr.","5-8","L/DS","99","375"
"272","Sarah Bell","Southern Miss.","Sr.","5-10","S","125","374"
"273","Tatyana Battle","New Mexico St.","Sr.","6-0","OH","124","373"
"","Hailey Harward","Long Beach St.","Jr.","5-9","L/DS","110","373"
"","Maja Petronijevic","Hampton","Sr.","5-6","L/DS","102","373"
"276","Brittany Anderson","Valparaiso","So.","5-11","S","146","372"
"","Kendall Glover","Georgia","So.","5-10","DS","91","372"
"","Rachel Hickey","IUPUI","Fr.","5-4","L/DS","108","372"
"","Hailey Brooke McFadden","Wake Forest","Sr.","5-7","L/DS","110","372"
"280","Nicole Rodriguez","UC Riverside","Jr.","5-5","L/DS","92","371"
"281","Mine Centinoz","Alabama A&M","Sr.","5-7","L/DS","85","370"
"","Nicole Lennon","Rice","So.","6-2","OH","118","370"
"283","Madison Coulter","Tennessee","So.","5-11","OH","103","369"
"","Hannah Gruensfelder","Ohio St.","So.","5-6","DS","117","369"
"","Emilee Wissmach","Mercer","So.","5-6","L/DS","107","369"
"286","Devan Fairfield","Kansas St.","Sr.","5-7","DS","98","368"
"287","Sydney Alvis","Coastal Caro.","Sr.","5-4","DS","91","367"
"","Katie Crowe","Purdue Fort Wayne","So.","5-10","OH","116","367"
"","Shelby Livingstone","Rice","Sr.","6-2","OH","118","367"
"","Claire Ochs","Southeast Mo. St.","Fr.","5-10","S","112","367"
"","Lindsey Vander Weide","Oregon","Sr.","6-3","OH","123","367"
"292","Cailey  Bracken","Delaware","Jr.","5-10","OH","107","365"
"","Chelsea Doyle","UC Riverside","Sr.","5-8","S","110","365"
"294","Cathryn Cheek","Drake","Sr.","5-10","OH","116","362"
"","Izzy Enna","Iowa St.","So.","5-8","DS","123","362"
"","Lauren Freed","Col. of Charleston","Jr.","5-10","OH","129","362"
"","Jamila Johnson","Furman","Sr.","5-7","OH","101","362"
"","Sydney Petersen","Texas","Fr.","5-4","-","101","362"
"","Jess Schaben","Iowa St.","Sr.","6-2","OH","123","362"
"","Kalie Wood","Columbia","Jr.","5-8","L/DS","87","362"
Reclassifying
"NR","Nicole Abreu","California Baptist","Jr.","6-0","OH","127","579"

NCAA Women's Volleyball
Division ITotal Attacks
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Errors","Total Attacks"
"1","Jordan Thompson","Cincinnati","Jr.","6-4","RS","132","827","226","1807"
"2","Carlisa May","Arkansas St.","Sr.","5-10","OH","123","584","228","1627"
"3","Lindsey Ruddins","UC Santa Barbara","Jr.","6-2","OH","110","587","174","1597"
"4","Kazna Tarawhiti","Utah Valley","Fr.","5-11","OH","139","558","282","1554"
"5","Emily Stroup","Ole Miss","Jr.","6-0","OH","124","584","251","1518"
"6","Erica Haslag","Bradley","Sr.","5-11","OH","127","543","168","1489"
"7","Krista Boesing","Samford","Sr.","5-10","OH","136","494","179","1486"
"","Hayley Dotseth","South Dakota","Sr.","5-11","OH","111","447","188","1486"
"9","Valerie Valerian","North Texas","So.","6-1","OH","131","495","148","1484"
"10","Janet Kalaniuvalu","Southern Utah","So.","6-2","OH","112","451","179","1464"
"11","Carly Skjodt","Michigan","Sr.","6-1","OH","122","512","140","1453"
"12","Karlie Taylor","UNI","Jr.","5-11","OH","118","563","258","1452"
"13","Meg Wolowicz","Northern Ill.","Sr.","6-4","MB","120","480","182","1446"
"14","Jess Schaben","Iowa St.","Sr.","6-2","OH","123","516","155","1445"
"15","Mikayla Vivens","Houston Baptist","So.","5-9","OH","124","445","198","1444"
"16","McKenna Melville","UCF","Fr.","6-1","OH","117","529","176","1432"
"17","Jacqueline Quade","Illinois","Jr.","6-2","OH","132","560","181","1429"
"18","Nicole Rightnowar","Purdue Fort Wayne","Sr.","5-11","OH","120","455","195","1409"
"19","Taylor Wolf","Green Bay","So.","6-2","S","113","513","201","1405"
"20","Devon Rachel","Col. of Charleston","Sr.","6-0","OH","128","512","146","1404"
"21","Kylie Grandy","Southern Miss.","Sr.","5-11","OH","126","530","225","1403"
"22","Maria Bellinger","Delaware","Jr.","6-1","OH","106","464","203","1395"
"23","Mikaela Nocetti","Sacramento St.","Sr.","5-11","OH","114","450","152","1391"
"24","Sherridan Atkinson","Purdue","Sr.","6-5","OH","130","546","135","1388"
"25","Hollann Hans","Texas A&M","Jr.","6-1","OH","120","528","212","1387"
"26","Allison Ketcham","Valparaiso","Sr.","5-10","OH","145","386","138","1376"
"","Haley Libs","Northern Ky.","Sr.","6-0","OH","121","470","155","1376"
"28","Abby Garrity","Idaho St.","Sr.","6-0","OH","123","485","123","1373"
"29","Yossiana Pressley","Baylor","So.","6-0","OH","110","517","233","1366"
"30","Emily Thorson","Tulsa","Sr.","6-2","OH","113","370","135","1357"
"31","Dani Drews","Utah","So.","6-0","RS","126","522","186","1352"
"32","Cathryn Cheek","Drake","Sr.","5-10","OH","116","426","202","1350"
"33","Taylor Slover","Fresno St.","Sr.","6-1","OH","130","480","189","1345"
"34","Hannah Thompson","Bradley","Fr.","5-8","OH","127","383","150","1344"
"35","Cortney VanLiew","FGCU","So.","5-11","OH","120","482","159","1342"
"36","Erika Pritchard","Maryland","So.","6-2","OH","114","493","208","1335"
"","Jori Radtke","Northern Ill.","So.","5-11","OH","121","389","188","1335"
"38","Jordan Jefferson","Bethune-Cookman","So.","5-8","OH","116","397","175","1332"
"39","Lauren Deaton","Samford","Fr.","-","OH","136","411","208","1328"
"40","Alexa Smith","Colorado","Sr.","6-1","OH","125","465","169","1327"
"41","Leah Clayton","ETSU","Jr.","5-11","OH","125","503","194","1326"
"42","Mariena Hayden","UNLV","So.","6-0","OH","127","543","214","1323"
"43","Alyssa Enneking","Oklahoma","Sr.","5-11","OPP","108","479","186","1322"
"44","Andrea Mitrovic","Buffalo","So.","6-2","OH","110","474","195","1312"
"45","Rachel Bontrager","Western Mich.","So.","5-11","OH","116","435","185","1309"
"","Brooke Botkin","Southern California","So.","6-1","OH","114","500","186","1309"
"47","Rachel Giustino","Murray St.","Jr.","5-10","OH","116","470","192","1308"
"48","Kendra Dahlke","Arizona","Sr.","6-0","OH","102","487","185","1306"
"49","Lindsey Vander Weide","Oregon","Sr.","6-3","OH","123","432","152","1300"
"50","Mikaela Foecke","Nebraska","Sr.","6-3","OH","133","514","103","1297"
"51","Kaylie Jorgenson","Northern Ariz.","Sr.","6-0","OH","132","404","137","1296"
"52","Jordan Smith","Eastern Mich.","Sr.","5-10","OH","126","456","174","1293"
"53","Maddi Sgattoni","Navy","So.","5-8","OH","118","393","173","1289"
"54","Ellie Dunn","Ball St.","Sr.","6-1","OH","120","435","163","1285"
"55","Maddie Goings","Oregon St.","So.","5-9","OH","121","393","205","1281"
"","Khalia Lanier","Southern California","Jr.","6-2","OH","107","457","168","1281"
"57","Dacia Brown","Murray St.","Sr.","5-11","MB","116","445","162","1278"
"58","Ciara DeBell","Marshall","So.","6-2","OH","103","437","177","1274"
"59","Tatyana Battle","New Mexico St.","Sr.","6-0","OH","124","420","151","1273"
"60","Rachel Tam","Evansville","Jr.","5-9","OH","117","492","252","1270"
"61","Mildrelis Rodriguez","Evansville","Sr.","5-9","OH","121","379","179","1266"
"62","Jaali Winters","Creighton","Sr.","6-3","OH","118","451","143","1256"
"63","Katherine Carlson","Valparaiso","Sr.","5-11","OH","143","413","135","1253"
"","Amy Underdown","Oregon St.","Jr.","6-1","OH","121","406","221","1253"
"65","Mariana Brambilla","Georgia Tech","Fr.","5-11","OH","125","438","128","1250"
"66","Kara Bajema","Washington","Jr.","6-2","OH","123","475","191","1247"
"67","Cheyenne Hayes","Troy","So.","5-9","OH","116","441","237","1244"
"68","Kathryn Plummer","Stanford","Jr.","6-6","OH","116","545","195","1243"
"69","Mallory Mattingly","Jacksonville","Jr.","5-10","OH","106","383","244","1242"
"70","Emma Longley","Appalachian St.","Jr.","5-11","OH","109","406","156","1235"
"71","Sarah Sharp","Idaho","Sr.","6-4","OH","123","440","129","1221"
"72","Megan Duncan","Houston","Jr.","6-1","OH","122","356","199","1220"
"73","Kayla Afoa","Nevada","So.","5-9","OH","113","385","167","1217"
"74","Laura Gross","Indiana St.","Sr.","5-10","OH","111","349","175","1216"
"","Skylar Iott","George Washington","Jr.","6-0","OH","99","385","233","1216"
"76","Mckenna Woodford","Washington St.","Sr.","6-4","OH","130","436","171","1215"
"77","Kristen Bell","Utah Valley","So.","6-2","OH","130","396","131","1212"
"78","Maria Yvett Garcia","Florida A&M","Jr.","6-1","OH","103","402","181","1208"
"79","Lauren Twitty","New Mexico","Jr.","6-2","OH","121","407","229","1205"
"80","Nicole Lennon","Rice","So.","6-2","OH","118","482","150","1204"
"81","Mima Mirkovic","California","So.","5-11","OH","117","405","133","1198"
"82","Jacey Smith","Abilene Christian","Sr.","5-11","MB","118","339","175","1196"
"83","Caylee Parker","UConn","Fr.","5-11","OH","109","433","218","1193"
"84","Taryn Kloth","Creighton","Sr.","6-4","OH","118","490","157","1178"
"85","Leah Edmond","Kentucky","Jr.","6-2","OH","109","498","159","1176"
"86","Mikaila Dowd","Georgia Tech","Fr.","6-1","OH","115","422","193","1175"
"87","Carmen Freeman","UMBC","So.","5-10","OH","106","339","190","1167"
"","Ragni Steen Knudsen","UTRGV","Sr.","5-11","OH","105","409","133","1167"
"89","Lauren Bruns","Dayton","Sr.","6-1","OH","118","502","150","1161"
"90","Allie Barber","Marquette","Jr.","6-5","OH","115","537","125","1156"
"","Chloee Kleespies","Toledo","So.","6-2","OH","106","332","133","1156"
"92","Payton Caffrey","Florida St.","So.","6-0","OH","109","476","137","1155"
"93","Catie Cronister","Wofford","Jr.","5-10","OH","111","382","213","1154"
"","Kylie Kuyava-Deberg","Missouri","So.","6-4","OH","119","425","178","1154"
"95","Taylor Louis","Iowa","Sr.","6-2","OH","120","430","169","1153"
"96","Taylor Mims","Washington St.","Sr.","6-3","OH","108","411","153","1152"
"97","Kat Miller","Quinnipiac","Sr.","5-11","RS","112","366","199","1147"
"","Reghan Pukis","Portland","Jr.","6-1","OH","123","386","110","1147"
"99","Ann Ernst","Loyola Maryland","Jr.","5-9","OH","119","426","206","1144"
"","Sharlissa de Jesus","The Citadel","So.","5-9","OH","104","406","200","1144"
"101","Reeana Richardson","Charlotte","Sr.","5-10","OH","117","441","163","1142"
"102","Abby Hamilton","Loyola Maryland","Fr.","5-11","OH","119","353","158","1140"
"103","Breana Runnels","Colorado St.","So.","5-10","OH","112","454","200","1138"
"104","Jac'cara Walker","South Fla.","Jr.","5-10","OH","112","394","131","1137"
"105","Margherita Bianchin","FIU","Sr.","6-0","OH","117","410","103","1135"
"106","Laura Masciullo","Hofstra","Jr.","6-0","OH","127","466","138","1134"
"","Kam Terry","Elon","Sr.","5-11","OH","97","359","143","1134"
"108","Tabitha Brown","Wichita St.","Sr.","5-10","OH","126","368","165","1133"
"","Ginger Perinar","Alabama","Jr.","6-2","OH","116","368","167","1133"
"110","Polina Shemanova","Syracuse","Fr.","6-0","OH","106","447","154","1132"
"111","Jaydlin Seehase","UNI","So.","6-1","OH","126","381","180","1128"
"112","Kortney Lockey","Northern Colo.","Sr.","5-10","OH","111","351","146","1126"
"113","Emily Allen","UC Davis","Sr.","5-8","OH","106","379","165","1125"
"114","Lauryn Dela Cruz","Chicago St.","Sr.","5-8","OH","106","377","203","1124"
"115","Liisel Nelis","Sacred Heart","Jr.","5-10","OH","99","379","208","1118"
"116","Teni Sopitan","NC State","Sr.","6-1","MB","108","391","187","1115"
"117","Paige Jones","Michigan","Fr.","6-1","OH","120","402","185","1113"
"118","Brooke Moore","Austin Peay","So.","5-10","OH","120","370","163","1112"
"","Charley Niego","Notre Dame","Fr.","6-0","OH","105","339","116","1112"
"120","Aeryn Owens","CSUN","Sr.","6-0","OH","108","446","161","1110"
"121","Haley Tippett","Central Ark.","Sr.","6-0","OH","121","382","170","1105"
"122","Sarah Davis","Sacramento St.","Jr.","5-10","OPP","117","313","174","1103"
"123","Taylor Bannister","LSU","So.","6-5","MB","113","456","217","1099"
"","Carlyle Nusbaum","Lipscomb","Sr.","5-10","OH","108","436","209","1099"
"125","Makenzie Hennen","South Dakota St.","Jr.","5-11","OH","104","340","163","1098"
"126","Cecily Gable","Austin Peay","Sr.","6-0","OH","115","386","167","1097"
"127","Tessa Grubbs","Tennessee","Jr.","6-3","OH","108","453","150","1096"
"128","Kaitlyn Lines","Pacific","So.","6-0","OH","113","437","234","1095"
"129","Kristin Kingi","Bryant","Sr.","5-11","OH","139","363","183","1093"
"","AJ Lux","ETSU","Sr.","5-10","RS","125","387","152","1093"
"131","Mac May","UCLA","So.","6-3","OH","101","373","143","1089"
"132","Brooke Bailey","Clemson","So.","6-2","OH","129","437","185","1088"
"","Breana  Edwards","Indiana","Fr.","6-2","OH","120","360","165","1088"
"","Veronica Jones-Perry","BYU","Sr.","6-0","OH","105","506","149","1088"
"135","Madi Tyus","Saint Francis (PA)","Fr.","6-0","OH","101","340","199","1087"
"136","Julia Pierson","Tennessee St.","Jr.","6-0","OH","108","364","123","1086"
"137","Savannah Davison","New Mexico St.","Fr.","5-10","OH","123","382","199","1085"
"138","Brittany Adams","SMU","Sr.","5-10","OH","109","324","149","1084"
"","Doris Carter","Alabama","So.","5-10","OH","116","344","141","1084"
"140","Lizzie Stephens","Ohio","Jr.","6-0","OH","117","335","151","1081"
"141","Alanis Alvarado","Saint Peter's","Fr.","-","-","123","315","135","1080"
"142","Aleksandra Kazala","American","Sr.","6-0","OH","116","406","153","1074"
"","Olivia Lohmeier","Morehead St.","So.","6-0","OH","112","413","130","1074"
"","Beatriz Palmieri","Chicago St.","Jr.","5-11","OH","115","273","137","1074"
"","Paige Whipple","Arizona","So.","6-1","OH","111","347","161","1074"
"146","Bayle' Bennett","Alabama St.","Jr.","5-10","OH","138","374","220","1073"
"","Ali Verzani","Tennessee Tech","So.","5-10","OH","117","332","160","1073"
"148","Katelyn Evans","West Virginia","Jr.","6-1","OH","111","352","184","1072"
"149","Lauren Freed","Col. of Charleston","Jr.","5-10","OH","129","385","191","1071"
"150","Jaime Kosiorek","Ohio","Sr.","6-0","OH","117","342","144","1070"
Reclassifying
"NR","Tesa Oaks","California Baptist","So.","5-11","OH","117","408","157","1208"
"NR","Megan Sester","California Baptist","Fr.","6-1","OH","128","377","187","1112"

NCAA Women's Volleyball
Division IAttacks Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Errors","Total Attacks","Per Set"
"1","Lindsey Ruddins","UC Santa Barbara","Jr.","6-2","OH","110","587","174","1597","14.52"
"2","Jordan Thompson","Cincinnati","Jr.","6-4","RS","132","827","226","1807","13.69"
"3","Hayley Dotseth","South Dakota","Sr.","5-11","OH","111","447","188","1486","13.39"
"4","Carlisa May","Arkansas St.","Sr.","5-10","OH","123","584","228","1627","13.23"
"5","Maria Bellinger","Delaware","Jr.","6-1","OH","106","464","203","1395","13.16"
"6","Janet Kalaniuvalu","Southern Utah","So.","6-2","OH","112","451","179","1464","13.07"
"7","Kendra Dahlke","Arizona","Sr.","6-0","OH","102","487","185","1306","12.80"
"8","Taylor Wolf","Green Bay","So.","6-2","S","113","513","201","1405","12.43"
"9","Yossiana Pressley","Baylor","So.","6-0","OH","110","517","233","1366","12.42"
"10","Ciara DeBell","Marshall","So.","6-2","OH","103","437","177","1274","12.37"
"11","Karlie Taylor","UNI","Jr.","5-11","OH","118","563","258","1452","12.31"
"12","Skylar Iott","George Washington","Jr.","6-0","OH","99","385","233","1216","12.28"
"13","Emily Stroup","Ole Miss","Jr.","6-0","OH","124","584","251","1518","12.24"
"14","Alyssa Enneking","Oklahoma","Sr.","5-11","OPP","108","479","186","1322","12.24"
"15","McKenna Melville","UCF","Fr.","6-1","OH","117","529","176","1432","12.24"
"16","Mikaela Nocetti","Sacramento St.","Sr.","5-11","OH","114","450","152","1391","12.20"
"17","Elan McCall","TCU","Fr.","6-0","OH","78","370","116","944","12.10"
"18","Meg Wolowicz","Northern Ill.","Sr.","6-4","MB","120","480","182","1446","12.05"
"19","Emily Thorson","Tulsa","Sr.","6-2","OH","113","370","135","1357","12.01"
"20","Khalia Lanier","Southern California","Jr.","6-2","OH","107","457","168","1281","11.97"
"21","Andrea Mitrovic","Buffalo","So.","6-2","OH","110","474","195","1312","11.93"
"22","Carly Skjodt","Michigan","Sr.","6-1","OH","122","512","140","1453","11.91"
"23","Jess Schaben","Iowa St.","Sr.","6-2","OH","123","516","155","1445","11.75"
"24","Nicole Rightnowar","Purdue Fort Wayne","Sr.","5-11","OH","120","455","195","1409","11.74"
"25","Maria Yvett Garcia","Florida A&M","Jr.","6-1","OH","103","402","181","1208","11.73"
"26","Erica Haslag","Bradley","Sr.","5-11","OH","127","543","168","1489","11.72"
"27","Mallory Mattingly","Jacksonville","Jr.","5-10","OH","106","383","244","1242","11.72"
"28","Erika Pritchard","Maryland","So.","6-2","OH","114","493","208","1335","11.71"
"29","Kam Terry","Elon","Sr.","5-11","OH","97","359","143","1134","11.69"
"30","Mikayla Vivens","Houston Baptist","So.","5-9","OH","124","445","198","1444","11.65"
"31","Cathryn Cheek","Drake","Sr.","5-10","OH","116","426","202","1350","11.64"
"32","Hollann Hans","Texas A&M","Jr.","6-1","OH","120","528","212","1387","11.56"
"33","Jordan Jefferson","Bethune-Cookman","So.","5-8","OH","116","397","175","1332","11.48"
"34","Brooke Botkin","Southern California","So.","6-1","OH","114","500","186","1309","11.48"
"35","Haley Libs","Northern Ky.","Sr.","6-0","OH","121","470","155","1376","11.37"
"36","Emma Longley","Appalachian St.","Jr.","5-11","OH","109","406","156","1235","11.33"
"37","Valerie Valerian","North Texas","So.","6-1","OH","131","495","148","1484","11.33"
"38","Liisel Nelis","Sacred Heart","Jr.","5-10","OH","99","379","208","1118","11.29"
"39","Rachel Bontrager","Western Mich.","So.","5-11","OH","116","435","185","1309","11.28"
"40","Rachel Giustino","Murray St.","Jr.","5-10","OH","116","470","192","1308","11.28"
"41","Cortney VanLiew","FGCU","So.","5-11","OH","120","482","159","1342","11.18"
"42","Kazna Tarawhiti","Utah Valley","Fr.","5-11","OH","139","558","282","1554","11.18"
"43","Abby Garrity","Idaho St.","Sr.","6-0","OH","123","485","123","1373","11.16"
"44","Jemma Yeadon","Notre Dame","Jr.","5-9","OH","79","272","114","881","11.15"
"45","Kylie Grandy","Southern Miss.","Sr.","5-11","OH","126","530","225","1403","11.13"
"46","Ragni Steen Knudsen","UTRGV","Sr.","5-11","OH","105","409","133","1167","11.11"
"47","T'Ara Ceasar","Georgia","So.","6-1","OH","90","376","157","998","11.09"
"48","Jori Radtke","Northern Ill.","So.","5-11","OH","121","389","188","1335","11.03"
"49","Dacia Brown","Murray St.","Sr.","5-11","MB","116","445","162","1278","11.02"
"50","Carmen Freeman","UMBC","So.","5-10","OH","106","339","190","1167","11.01"
"51","Sharlissa de Jesus","The Citadel","So.","5-9","OH","104","406","200","1144","11.00"
"52","Devon Rachel","Col. of Charleston","Sr.","6-0","OH","128","512","146","1404","10.97"
"53","Mayda Garcia","Fairfield","Jr.","5-9","OH","94","325","171","1030","10.96"
"54","Laura Gross","Indiana St.","Sr.","5-10","OH","111","349","175","1216","10.95"
"55","Caylee Parker","UConn","Fr.","5-11","OH","109","433","218","1193","10.94"
"56","Krista Boesing","Samford","Sr.","5-10","OH","136","494","179","1486","10.93"
"57","Maddi Sgattoni","Navy","So.","5-8","OH","118","393","173","1289","10.92"
"58","Chloee Kleespies","Toledo","So.","6-2","OH","106","332","133","1156","10.91"
"59","Hailey Dirrigl","Arkansas","So.","6-2","OH","89","321","144","967","10.87"
"60","Rachel Tam","Evansville","Jr.","5-9","OH","117","492","252","1270","10.85"
"61","Jacqueline Quade","Illinois","Jr.","6-2","OH","132","560","181","1429","10.83"
"62","Leah Edmond","Kentucky","Jr.","6-2","OH","109","498","159","1176","10.79"
"63","Mac May","UCLA","So.","6-3","OH","101","373","143","1089","10.78"
"64","Kayla Afoa","Nevada","So.","5-9","OH","113","385","167","1217","10.77"
"65","Madi Tyus","Saint Francis (PA)","Fr.","6-0","OH","101","340","199","1087","10.76"
"66","Dani Drews","Utah","So.","6-0","RS","126","522","186","1352","10.73"
"67","Cheyenne Hayes","Troy","So.","5-9","OH","116","441","237","1244","10.72"
"68","Kathryn Plummer","Stanford","Jr.","6-6","OH","116","545","195","1243","10.72"
"69","Ellie Dunn","Ball St.","Sr.","6-1","OH","120","435","163","1285","10.71"
"70","Torrey Van Winden","Cal Poly","Jr.","6-3","OH","92","466","107","984","10.70"
